city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;city_address
Абаза;;Хакасия;;в Абазе;;;;
Абакан;;Хакасия;;в Абакане;;;;
Абдулино;;Оренбургская область;;в Абдулино;;;;
Абинск;;Краснодарский край;;в Абинске;;;;
Агидель;;Башкортостан;;в Агидели;;;;
Агрыз;;Татарстан;;в Агрызе;;;;
Адыгейск;;Адыгея;;в Адыгейске;;;;
Азнакаево;;Татарстан;;в Азнакаево;;;;
Азов;;Ростовская область;;в Азове;;;;
Ак-Довурак;;Тыва;;в Ак-Довураке;;;;
Аксай;;Ростовская область;;в Аксае;;;;
Алагир;;Северная Осетия;;в Алагире;;;;
Алапаевск;;Свердловская область;;в Алапаевске;;;;
Алатырь;;Чувашия;;в Алатыре;;;;
Алдан;;Якутия;;в Алдане;;;;
Алейск;;Алтайский край;;в Алейске;;;;
Александров;;Владимирская область;;в Александрове;;;;
Александровск;;Пермский край;;в Александровске;;;;
Александровск-Сахалинский;;Сахалинская область;;в Александровске-Сахалинском;;;;
Алексеевка;;Белгородская область;;в Алексеевке;;;;
Алексин;;Тульская область;;в Алексине;;;;
Алзамай;;Иркутская область;;в Алзамае;;;;
Алупка;;Крым;;в Алупке;;;;
Алушта;;Крым;;в Алуште;;;;
Альметьевск;;Татарстан;;в Альметьевске;;;;
Амурск;;Хабаровский край;;в Амурске;;;;
Анадырь;;Чукотский АО;;в Анадыре;;;;
Анапа;;Краснодарский край;;в Анапе;;;;
Ангарск;;Иркутская область;;в Ангарске;;;;
Андреаполь;;Тверская область;;в Андреаполе;;;;
Анжеро-Судженск;;Кемеровская область;;в Анжеро-Судженске;;;;
Анива;;Сахалинская область;;в Аниве;;;;
Апатиты;;Мурманская область;;в Апатитах;;;;
Апрелевка;;Московская область;;в Апрелевке;;;;
Апшеронск;;Краснодарский край;;в Апшеронске;;;;
Арамиль;;Свердловская область;;в Арамиле;;;;
Аргун;;Чечня;;в Аргуне;;;;
Ардатов;;Мордовия;;в Ардатове;;;;
Ардон;;Северная Осетия;;в Ардоне;;;;
Арзамас;;Нижегородская область;;в Арзамасе;;;;
Аркадак;;Саратовская область;;в Аркадаке;;;;
Армавир;;Краснодарский край;;в Армавире;;;;
Армянск;;Крым;;в Армянске;;;;
Арсеньев;;Приморский край;;в Арсеньеве;;;;
Арск;;Татарстан;;в Арске;;;;
Артём;;Приморский край;;в Артёме;;;;
Артёмовск;;Красноярский край;;в Артёмовске;;;;
Артёмовский;;Свердловская область;;в Артёмовском;;;;
Архангельск;;Архангельская область;;в Архангельске;;;;
Асбест;;Свердловская область;;в Асбесте;;;;
Асино;;Томская область;;в Асино;;;;
Астрахань;;Астраханская область;;в Астрахани;;;;
Аткарск;;Саратовская область;;в Аткарске;;;;
Ахтубинск;;Астраханская область;;в Ахтубинске;;;;
Ачинск;;Красноярский край;;в Ачинске;;;;
Ачхой-Мартан;;Чечня;;в Ачхой-Мартане;;;;
Аша;;Челябинская область;;в Аше;;;;
Бабаево;;Вологодская область;;в Бабаево;;;;
Бабушкин;;Бурятия;;в Бабушкине;;;;
Бавлы;;Татарстан;;в Бавлах;;;;
Багратионовск;;Калининградская область;;в Багратионовске;;;;
Байкальск;;Иркутская область;;в Байкальске;;;;
Баймак;;Башкортостан;;в Баймаке;;;;
Бакал;;Челябинская область;;в Бакале;;;;
Баксан;;Кабардино-Балкария;;в Баксане;;;;
Балабаново;;Калужская область;;в Балабаново;;;;
Балаково;;Саратовская область;;в Балаково;;;;
Балахна;;Нижегородская область;;в Балахне;;;;
Балашиха;;Московская область;;в Балашихе;;;;
Балашов;;Саратовская область;;в Балашове;;;;
Балей;;Забайкальский край;;в Балее;;;;
Балтийск;;Калининградская область;;в Балтийске;;;;
Барабинск;;Новосибирская область;;в Барабинске;;;;
Барнаул;;Алтайский край;;в Барнауле;;;;
Барыш;;Ульяновская область;;в Барыше;;;;
Батайск;;Ростовская область;;в Батайске;;;;
Бахчисарай;;Крым;;в Бахчисарае;;;;
Бежецк;;Тверская область;;в Бежецке;;;;
Белая Калитва;;Ростовская область;;в Белой Калитве;;;;
Белая Холуница;;Кировская область;;в Белой Холунице;;;;
Белгород;;Белгородская область;;в Белгороде;;;;
Белебей;;Башкортостан;;в Белебее;;;;
Белёв;;Тульская область;;в Белёве;;;;
Белинский;;Пензенская область;;в Белинском;;;;
Белово;;Кемеровская область;;в Белово;;;;
Белогорск;;Амурская область;;в Белогорске;;;;
Белогорск;;Крым;;в Белогорске;;;;
Белозерск;;Вологодская область;;в Белозерске;;;;
Белокуриха;;Алтайский край;;в Белокурихе;;;;
Беломорск;;Карелия;;в Беломорске;;;;
Белоозёрский;;Московская область;;в Белоозёрском;;;;
Белорецк;;Башкортостан;;в Белорецке;;;;
Белореченск;;Краснодарский край;;в Белореченске;;;;
Белоусово;;Калужская область;;в Белоусово;;;;
Белоярский;;Ханты-Мансийский АО;;в Белоярском;;;;
Белый;;Тверская область;;в Белом;;;;
Бердск;;Новосибирская область;;в Бердске;;;;
Березники;;Пермский край;;в Березниках;;;;
Берёзовский;;Кемеровская область;;в Берёзовском;;;;
Берёзовский;;Свердловская область;;в Берёзовском;;;;
Беслан;;Северная Осетия;;в Беслане;;;;
Бийск;;Алтайский край;;в Бийске;;;;
Бикин;;Хабаровский край;;в Бикине;;;;
Билибино;;Чукотский АО;;в Билибино;;;;
Биробиджан;;Еврейская АО;;в Биробиджане;;;;
Бирск;;Башкортостан;;в Бирске;;;;
Бирюсинск;;Иркутская область;;в Бирюсинске;;;;
Бирюч;;Белгородская область;;в Бирюче;;;;
Благовещенск;;Башкортостан;;в Благовещенске;;;;
Благовещенск;;Амурская область;;в Благовещенске;;;;
Благодарный;;Ставропольский край;;в Благодарном;;;;
Бобров;;Воронежская область;;в Боброве;;;;
Богданович;;Свердловская область;;в Богдановиче;;;;
Богородицк;;Тульская область;;в Богородицке;;;;
Богородск;;Нижегородская область;;в Богородске;;;;
Боготол;;Красноярский край;;в Боготоле;;;;
Богучар;;Воронежская область;;в Богучаре;;;;
Бодайбо;;Иркутская область;;в Бодайбо;;;;
Бокситогорск;;Ленинградская область;;в Бокситогорске;;;;
Болгар;;Татарстан;;в Болгаре;;;;
Бологое;;Тверская область;;в Бологом;;;;
Болотное;;Новосибирская область;;в Болотном;;;;
